timestamp,trial_index,group_type,group_index,predicted_is_target_flash
0.08425495833336072,0,column,5,0
0.33790383333337104,1,row,3,0
0.5918704999999704,2,column,3,0
0.8424705416666711,3,row,1,1
1.092137374999993,4,column,4,0
1.342283208333356,5,column,0,0
1.592124083333374,6,row,0,0
1.8417083333333721,7,column,1,1
2.091650833333347,8,row,5,0
2.341859124999985,9,row,4,0
2.592118625000012,10,row,2,0
2.8420825000000036,11,column,2,0
3.0921423333333564,12,column,5,0
3.3460319583333558,13,row,2,0
3.596208666666655,14,row,0,0
3.8462831250000136,15,column,3,0
4.096230166666658,16,row,4,0
4.346281458333351,17,column,2,0
4.595993666666686,18,row,5,0
4.846179624999991,19,column,0,0
5.096047666666664,20,column,1,1
5.346344958333361,21,row,3,0
5.596060625000007,22,row,1,1
5.846258958333351,23,column,4,0
6.0962089999999876,24,column,3,0
6.346194749999995,25,column,2,0
6.5961452083333825,26,column,5,0
6.846055250000006,27,row,1,1
7.096096041666669,28,row,4,0
7.3463210833333505,29,row,2,0
7.596137541666678,30,column,1,1
7.846191541666656,31,column,4,0
8.096072166666659,32,row,3,0
8.346170416666666,33,row,0,0
8.596031333333372,34,column,0,0
8.84646462500001,35,row,5,0
9.096322291666695,36,row,0,0
9.346277041666667,37,column,0,0
9.59606420833336,38,column,4,0
9.846265583333377,39,row,4,0
10.095989999999972,40,row,1,1
10.346227458333374,41,row,2,0
10.595914624999978,42,column,1,1
10.846248958333376,43,column,2,0
11.09600395833337,44,row,5,0
11.348435333333384,45,row,3,0
11.634760791666679,46,column,5,0
11.889282750000007,47,column,3,0
