timestamp,trial_index,group_type,group_index,is_target_flash
1.7168448333541164,0,row,2,0
2.537579750001896,1,column,0,0
3.3545223333494505,2,column,0,0
4.171099500003038,3,row,1,1
4.9876610833453014,4,row,0,0
5.805369875000906,5,column,5,0
6.625097333351732,6,column,2,0
7.441793875012081,7,column,3,0
8.258591750010964,8,column,5,0
9.075267166670528,9,column,4,0
9.891739541679271,10,row,4,0
10.708581041675643,11,row,1,1
11.525037250001333,12,column,5,0
12.341859083346208,13,column,3,0
13.15858091667178,14,column,4,0
13.975276666678838,15,row,1,1
14.7919667083479,16,column,3,0
15.608332375006285,17,column,1,1
16.425041083348333,18,row,2,0
17.241681166677154,19,row,0,0
18.058367999998154,20,column,3,0
18.875264541682554,21,row,3,0
19.691767625001376,22,column,2,0
20.50833437500114,23,column,0,0
21.324976833348046,24,column,2,0
22.141702458349755,25,column,2,0
22.95855554167065,26,column,4,0
23.77508000000671,27,column,5,0
24.59190104168374,28,row,0,0
25.408545250000316,29,row,2,0
26.224980916682398,30,row,3,0
27.04160633335414,31,column,4,0
27.858325666675228,32,row,3,0
28.67515379167162,33,row,1,1
29.492195666680345,34,column,5,0
30.308485208355705,35,row,5,0
31.125132583343657,36,column,2,0
31.941764416682418,37,column,3,0
32.758279541681986,38,column,3,0
33.5749598750117,39,row,4,0
