timestamp,trial_index,group_type,group_index,predicted_is_target_flash
0.007867624997743405,0,column,5,0
0.27404845831915736,1,row,3,0
0.5407245833193883,2,row,4,0
0.8073438333231024,3,column,4,0
1.0655322916572914,4,column,2,1
1.3322546666458948,5,column,3,0
1.5989191249973373,6,column,1,0
1.8655669166473672,7,column,0,0
2.132222833330161,8,row,5,0
2.391003416647436,9,row,0,0
2.6574834999919403,10,row,1,1
2.924148583319038,11,row,2,0
3.1908249583211727,12,column,4,0
3.457334083330352,13,row,2,0
3.723992791652563,14,row,3,0
3.9907257500017295,15,column,3,0
4.2491574166488135,16,column,0,0
4.5074260416586185,17,row,1,1
4.76588395833096,18,row,4,0
5.0243747499916935,19,row,5,0
5.282416333328001,20,row,0,0
5.54081358332769,21,column,2,1
5.807059916653088,22,column,5,0
6.065870249993168,23,column,1,0
6.324494125001365,24,column,5,0
6.582473708331236,25,row,4,0
6.840499833328067,26,row,2,0
7.107350916645373,27,row,0,0
7.374061124995933,28,column,4,0
7.632423124989145,29,column,2,1
7.890241166649503,30,column,1,0
8.148827666649595,31,row,5,0
8.407378916657763,32,column,0,0
8.674114624998765,33,column,3,0
8.93247291665466,34,row,1,1
9.1907565833244,35,row,3,0
9.457086291658925,36,row,0,0
9.723916958319023,37,column,5,0
9.990268791647395,38,row,2,0
10.249118374995305,39,row,4,0
10.515604833330144,40,column,1,0
10.77417479165888,41,column,4,0
11.032450624988996,42,row,1,1
11.290491666659364,43,column,3,0
11.548915749997832,44,column,0,0
11.807805083328276,45,row,3,0
12.073728374991333,46,column,2,1
12.332448333327193,47,row,5,0
